Country,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Borrower's Obligation,Country_Code,Indicator_Name,Indicator_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,developed
Senegal,162950000.0,33624524.04,0.0,129325476.0,0.0,SEN,GDP (current US$),NY.GDP.MKTP.CD,6013185004.0,6507824827.0,7006402325.0,8768721561.0,10076816661.0,11009033445.0,11697918245.0,13994218399.0,16853989611.0,16145867483.0,16121315902.0,17814283650.0,17660870396.0,18918667731.0,19797253445.0,17774766697.0,19040312331.0,20996562959.0,23116701540.0,23403995985.0,24530513059.0,27569136728.0,27684430244.0,0.0
Sierra Leone,18700000.0,0.0,0.0,18700000.0,0.0,SLE,GDP (current US$),NY.GDP.MKTP.CD,635874002.2,1074851475.0,1236235827.0,1369685677.0,1430217081.0,1627058706.0,1862116165.0,2126679686.0,2451896682.0,2419014960.0,2578159480.0,2932274242.0,3789251962.0,4920343203.0,5015180836.0,4252029354.0,3862721205.0,3719443318.0,4085114542.0,4076578654.0,4062906364.0,4249234574.0,3970343852.0,0.0
El Salvador,3292685000.0,305412697.8,762590362.0,2224681940.0,857495776.4,SLV,GDP (current US$),NY.GDP.MKTP.CD,11784927700.0,12282533600.0,12664190300.0,13243892200.0,13724810900.0,14698000000.0,15999890000.0,17011750000.0,17986890000.0,17601620000.0,18447920000.0,20283780000.0,21386150000.0,21990960000.0,22593470000.0,23438240000.0,24191430000.0,24979190000.0,26020850000.0,26881140000.0,24930080000.0,29451240000.0,32488720000.0,0.0
Suriname,58000000.0,0.0,44174412.08,13825587.92,13825587.92,SUR,GDP (current US$),NY.GDP.MKTP.CD,947671969.7,834279357.8,1093574468.0,1274190311.0,1484092538.0,1793410617.0,2626380435.0,2936612022.0,3532969035.0,3875409836.0,4368371528.0,4422276622.0,4980000000.0,5145757576.0,5240606061.0,5126238146.0,3317421500.0,3591679371.0,3996198760.0,4016040575.0,2911807496.0,2984706244.0,3620655116.0,0.0
Slovak Republic,574520000.0,27735951.13,-0.01,596975665.3,0.0,SVK,GDP (current US$),NY.GDP.MKTP.CD,29242558797.0,30778781607.0,35297794386.0,46919965224.0,57437444469.0,62808723477.0,70767338922.0,86563986799.0,100880000000.0,89399303222.0,91162836320.0,99922685425.0,94623731086.0,98935222175.0,101437000000.0,88900883131.0,89952699525.0,95649966261.0,106138000000.0,105710000000.0,106729000000.0,118657000000.0,115469000000.0,0.0
Eswatini,410000000.0,55591797.41,95845006.3,307892402.8,185536491.8,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1738093757.0,1542477309.0,1432221784.0,2197598418.0,2770082792.0,3178112332.0,3291329938.0,3469381231.0,3294084181.0,3580427986.0,4438765109.0,4820478592.0,4886551706.0,4597552949.0,4422986447.0,4063245671.0,3816019223.0,4402969226.0,4666598024.0,4466214522.0,3982236726.0,4748702401.0,4854167638.0,0.0
Seychelles,181700000.0,195885.31,22370407.11,159172852.2,139959836.0,SYC,GDP (current US$),NY.GDP.MKTP.CD,654212432.4,662064193.6,742134792.4,750847276.4,893012218.2,977899381.8,1081441349.0,1077308888.0,979597364.9,851064318.8,981918002.9,1059249940.0,1089880668.0,1324915222.0,1387576414.0,1391427967.0,1458954110.0,1529773286.0,1587813245.0,1645090567.0,1183515398.0,1286687873.0,1588406479.0,0.0
Syrian Arab Republic,613200000.0,194580424.0,0.0,418619576.0,0.0,SYR,GDP (current US$),NY.GDP.MKTP.CD,80590022272.0,86771314031.0,90558485523.0,95693808463.0,112863000000.0,134204000000.0,153800000000.0,180030000000.0,218090000000.0,224562000000.0,252518000000.0,67539427671.0,43190317725.0,21361254648.0,21502061462.0,16468399180.0,12598742887.0,16369724433.0,21496337968.0,22600896352.0,11159274040.0,0.0,0.0,0.0
Chad,39500000.0,2139893.71,0.0,37360106.29,0.0,TCD,GDP (current US$),NY.GDP.MKTP.CD,1388506772.0,1710843376.0,1997005710.0,2742815071.0,4422855658.0,6649307528.0,7428701455.0,8650137735.0,10393833755.0,9290728312.0,10668103549.0,12172308858.0,12367362746.0,12953534870.0,13940767222.0,10950392257.0,10097778097.0,10000394388.0,11239167890.0,11314951088.0,10715396051.0,11779981332.0,12704149842.0,0.0
Togo,3500000.0,0.0,0.0,3500000.0,0.0,TGO,GDP (current US$),NY.GDP.MKTP.CD,2027363117.0,2014516701.0,2319268823.0,2875255593.0,3071152629.0,3100356552.0,3195618966.0,3618281293.0,4516616224.0,4592147228.0,4660369658.0,5262368232.0,5263522037.0,5872790935.0,6217047649.0,5681469374.0,6031632015.0,6395472028.0,7029217932.0,6992656429.0,7389329393.0,8334047486.0,8126439481.0,0.0
Turkmenistan,109500000.0,51600566.1,0.0,57899433.9,20000000.0,TKM,GDP (current US$),NY.GDP.MKTP.CD,2904662605.0,3534771969.0,4462028989.0,5977440583.0,6838351088.0,8103901996.0,10276674365.0,12664165103.0,19271523179.0,20214385965.0,22583157895.0,29233333333.0,35164210526.0,39197543860.0,43524210526.0,35799714286.0,36169428571.0,37926285714.0,40765428571.0,44220285714.0,45610571429.0,0.0,0.0,0.0
Timor-Leste,15000000.0,46317.37,0.0,14953682.63,13809071.17,TLS,GDP (current US$),NY.GDP.MKTP.CD,367087900.0,477443500.0,469506700.0,490439100.0,440764600.0,462283600.0,453805100.0,542795400.0,648492700.0,726882400.0,881827800.0,1042411500.0,1160389600.0,1395519600.0,1447310400.0,1594447600.0,1650619400.0,1595724300.0,1563887900.0,2028551600.0,2158392500.0,3621222400.0,3163324631.0,0.0
Tunisia,12238530000.0,759536946.4,1192752652.0,10225016726.0,4218616029.0,TUN,GDP (current US$),NY.GDP.MKTP.CD,21473522939.0,22065840117.0,23141611179.0,27453895159.0,31183893587.0,32272178404.0,34376664601.0,38915343743.0,44859452038.0,43455740497.0,46206091938.0,48123314430.0,47311411910.0,48685436425.0,50271812921.0,45779494042.0,44360065797.0,42163530591.0,42686509836.0,41905637659.0,42538462678.0,46687298709.0,46664948952.0,0.0
Turkiye,50915196500.0,4733750747.0,8429268064.0,37377128181.0,11236467248.0,TUR,GDP (current US$),NY.GDP.MKTP.CD,274295000000.0,201753000000.0,240249000000.0,314596000000.0,408865000000.0,506315000000.0,557076000000.0,681321000000.0,770449000000.0,649289000000.0,776967000000.0,838786000000.0,880556000000.0,957799000000.0,938934000000.0,864314000000.0,869683000000.0,858989000000.0,778477000000.0,759935000000.0,720289000000.0,819034000000.0,905988000000.0,0.0
Tanzania,361030400.0,5477944.02,0.0,355552456.0,0.0,TZA,GDP (current US$),NY.GDP.MKTP.CD,13375976354.0,13581644246.0,14142035080.0,15224257698.0,16675948415.0,18399046025.0,18649590248.0,21843529025.0,27961527623.0,29081826159.0,32014247548.0,34657141721.0,39650522646.0,45680532614.0,49964825081.0,47378603784.0,49774004999.0,53275968095.0,57003686049.0,61026765850.0,66068737757.0,70655628141.0,75709289056.0,0.0
Uganda,43199700.0,277411.36,0.0,42922288.63,0.0,UGA,GDP (current US$),NY.GDP.MKTP.CD,6193246837.0,5840503869.0,6178563591.0,6606884274.0,7939487548.0,9239221760.0,9977647685.0,11902564497.0,14440404137.0,25127805566.0,26673441432.0,27871725245.0,27305915908.0,28915786520.0,32612397253.0,32387183733.0,29203988697.0,30744473840.0,32927025621.0,35348155092.0,37605430214.0,40510241366.0,45559202049.0,0.0
Ukraine,19996898577.0,2096465893.0,2007672818.0,15812993356.0,10077737094.0,UKR,GDP (current US$),NY.GDP.MKTP.CD,32375081951.0,39309580983.0,43956163612.0,52010352502.0,67220154164.0,89238865119.0,111885000000.0,148734000000.0,188110000000.0,121552000000.0,141209000000.0,169334000000.0,182592000000.0,190499000000.0,133504000000.0,91030968761.0,93355868978.0,112091000000.0,130891000000.0,153883000000.0,156618000000.0,199766000000.0,160503000000.0,0.0
Uzbekistan,4276530000.0,425553063.4,656085715.9,3204888221.0,2635904433.0,UZB,GDP (current US$),NY.GDP.MKTP.CD,13760513969.0,11401421329.0,9687788513.0,10134453435.0,12030023548.0,14307509839.0,17330833853.0,22311393928.0,29549438884.0,33689223673.0,49765676402.0,60178909297.0,67517349212.0,73180037913.0,80845385816.0,86196264742.0,86138288633.0,62081322741.0,52870108218.0,60283503705.0,60224701296.0,69600614989.0,80391853885.0,0.0
Vietnam,3587390000.0,709157426.3,512850477.1,2465382097.0,2191075235.0,VNM,GDP (current US$),NY.GDP.MKTP.CD,31172518403.0,32685198809.0,35064105501.0,39552513231.0,45427854693.0,57633255739.0,66371664817.0,77414425532.0,99130304099.0,106015000000.0,147201000000.0,172595000000.0,195591000000.0,213709000000.0,233451000000.0,239258000000.0,257096000000.0,281354000000.0,310106000000.0,334365000000.0,346616000000.0,366138000000.0,408802000000.0,0.0
Kosovo,385645134.0,0.0,0.0,385645134.0,104339819.6,XKX,GDP (current US$),NY.GDP.MKTP.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5181776769.0,5015894693.0,5343950626.0,6341614505.0,6163483291.0,6735327512.0,7074392884.0,6295845465.0,6682674063.0,7180768692.0,7878762812.0,7899741279.0,7717143395.0,9412034299.0,9429156202.0,0.0
South Africa,5815300000.0,697911892.1,507157666.5,4584096756.0,2578549642.0,ZAF,GDP (current US$),NY.GDP.MKTP.CD,151753000000.0,135430000000.0,129088000000.0,197019000000.0,255807000000.0,288867000000.0,303859000000.0,333077000000.0,316131000000.0,329754000000.0,417364000000.0,458199000000.0,434401000000.0,400886000000.0,381199000000.0,346710000000.0,323586000000.0,381449000000.0,404159000000.0,388531000000.0,337620000000.0,419016000000.0,405870000000.0,0.0
Zambia,635350000.0,53220016.22,0.0,582129983.8,0.01,ZMB,GDP (current US$),NY.GDP.MKTP.CD,3600631919.0,4094441301.0,4193850445.0,4901869716.0,6221109716.0,8331870169.0,12756858899.0,14056957976.0,17910858638.0,15328342304.0,20265559484.0,23459515276.0,25503060420.0,28037239463.0,27141023558.0,21251216799.0,20958412538.0,25873601261.0,26311506435.0,23308667781.0,18110638619.0,22147649569.0,29784454056.0,0.0
Zimbabwe,939300000.0,53297024.84,0.0,886002975.2,426437377.3,ZWE,GDP (current US$),NY.GDP.MKTP.CD,6689957600.0,6777384700.0,6342116400.0,5727591800.0,5805598400.0,5755215200.0,5443896500.0,5291950100.0,4415702800.0,9665793300.0,12041655200.0,14101920300.0,17114849900.0,19091020000.0,19495519600.0,19963120600.0,20548678100.0,17584890937.0,34156069918.0,21832234926.0,21509698406.0,28371238666.0,20678055598.0,0.0
Angola,6407000000.0,203643829.8,3372896505.0,3007022980.0,2989566101.0,AGO,GDP (current US$),NY.GDP.MKTP.CD,9129594819.0,8936079253.0,15285592487.0,17812704626.0,23552057820.0,36970901025.0,52381025105.0,65266415707.0,88538664888.0,70307196477.0,81699526881.0,109437000000.0,124998000000.0,133402000000.0,137244000000.0,87219300385.0,49840491178.0,68972769396.0,77792944472.0,69309110146.0,50241368244.0,65685435100.0,106714000000.0,0.0
Bulgaria,3301265000.0,356017280.8,0.01,2972458203.0,437469074.3,BGR,GDP (current US$),NY.GDP.MKTP.CD,13245990274.0,14183443862.0,16403043850.0,21144962058.0,26157744753.0,29868651533.0,34380543845.0,44432811756.0,54480697770.0,52023813558.0,50754203891.0,57735709914.0,54290156342.0,55844245264.0,57159557805.0,50828088836.0,53987487124.0,59343060706.0,66399602077.0,68911930628.0,70404359049.0,84061395658.0,89040398406.0,0.0
Brazil,64642193872.0,6810518149.0,2285819482.0,55892273038.0,15872819482.0,BRA,GDP (current US$),NY.GDP.MKTP.CD,655448000000.0,559984000000.0,509795000000.0,558234000000.0,669289000000.0,891634000000.0,1107630000000.0,1397110000000.0,1695860000000.0,1667000000000.0,2208840000000.0,2616160000000.0,2465230000000.0,2472820000000.0,2456040000000.0,1802210000000.0,1795690000000.0,2063510000000.0,1916930000000.0,1873290000000.0,1476110000000.0,1649620000000.0,1920100000000.0,0.0
Ecuador,9525580000.0,1061200969.0,1559592169.0,6904786862.0,4475842910.0,ECU,GDP (current US$),NY.GDP.MKTP.CD,18327764882.0,24468324000.0,28548945000.0,32432858000.0,36591661000.0,41507085000.0,46802044000.0,51007777000.0,61762635000.0,62519686000.0,69555367000.0,79276664000.0,87924544000.0,95129659000.0,101726000000.0,99290381000.0,99937696000.0,104296000000.0,107562000000.0,108108000000.0,99291124000.0,106166000000.0,115049000000.0,0.0
Lesotho,155000000.0,65649284.26,0.0,89350715.74,0.0,LSO,GDP (current US$),NY.GDP.MKTP.CD,887291645.3,825706961.2,775777263.1,1157825409.0,1511236656.0,1682343439.0,1800092519.0,1682025303.0,1766820422.0,1740835820.0,2234731974.0,2579421686.0,2477702253.0,2367113170.0,2441063169.0,2359754088.0,2114426469.0,2306741599.0,2556247156.0,2436029588.0,2117736528.0,2373416269.0,2553459763.0,0.0
Mauritania,146000000.0,0.0,0.0,146000000.0,0.01,MRT,GDP (current US$),NY.GDP.MKTP.CD,1779520862.0,1746063580.0,1777057503.0,2051147607.0,2362501023.0,2936019526.0,3919577286.0,4346212411.0,5206437121.0,4714595488.0,5628878866.0,6764627666.0,6728208836.0,7223071177.0,6592537782.0,6166863960.0,6398741856.0,6800138755.0,7473550557.0,8066118984.0,8405498736.0,9996240419.0,10375460680.0,0.0
Nigeria,7942200000.0,1164590458.0,1122057011.0,5805552531.0,488189833.0,NGA,GDP (current US$),NY.GDP.MKTP.CD,69448962761.0,74030562270.0,95054094655.0,104739000000.0,135765000000.0,175671000000.0,238455000000.0,278261000000.0,339476000000.0,295009000000.0,366991000000.0,414467000000.0,463971000000.0,520117000000.0,574184000000.0,493027000000.0,404649000000.0,375746000000.0,421739000000.0,474517000000.0,432199000000.0,440834000000.0,477386000000.0,0.0
Russian Federation,14451100000.0,3981746497.0,0.0,10469215928.0,-0.01,RUS,GDP (current US$),NY.GDP.MKTP.CD,259710000000.0,306602000000.0,345470000000.0,430347000000.0,591017000000.0,764016000000.0,989932000000.0,1299700000000.0,1660850000000.0,1222650000000.0,1524920000000.0,2045920000000.0,2208290000000.0,2292470000000.0,2059240000000.0,1363480000000.0,1276790000000.0,1574200000000.0,1657330000000.0,1693110000000.0,1493080000000.0,1836890000000.0,2240420000000.0,0.0
St. Vincent and the Grenadines,14642161.0,4943783.71,0.0,9698377.29,0.02,VCT,GDP (current US$),NY.GDP.MKTP.CD,427946037.0,462072333.3,487763851.9,509090888.9,549900185.2,579948925.9,643501148.1,713596666.7,732663259.3,714300259.3,720447888.9,713796370.4,730032592.6,764781259.3,770901436.4,786554580.8,814302267.1,844039068.8,884328180.5,910765709.8,869111852.8,872226063.7,948558503.1,0.0
Argentina,42466653000.0,4680850784.0,5289592137.0,33000224304.0,9498278955.0,ARG,GDP (current US$),NY.GDP.MKTP.CD,284204000000.0,268697000000.0,97724004252.0,127587000000.0,164658000000.0,198737000000.0,232557000000.0,287531000000.0,361558000000.0,332976000000.0,423627000000.0,530158000000.0,545982000000.0,552025000000.0,526320000000.0,594749000000.0,557532000000.0,643628000000.0,524820000000.0,447755000000.0,385540000000.0,487227000000.0,632770000000.0,1.0
Australia,417730000.0,0.0,0.0,417730000.0,-0.02,AUS,GDP (current US$),NY.GDP.MKTP.CD,415845000000.0,379358000000.0,395573000000.0,467498000000.0,614326000000.0,695305000000.0,747907000000.0,854427000000.0,1055690000000.0,928630000000.0,1148570000000.0,1398460000000.0,1546950000000.0,1576330000000.0,1467590000000.0,1350580000000.0,1206560000000.0,1326470000000.0,1428270000000.0,1392220000000.0,1326940000000.0,1552700000000.0,1675420000000.0,1.0
Belgium,76000000.0,0.0,0.0,76000000.0,0.0,BEL,GDP (current US$),NY.GDP.MKTP.CD,236792000000.0,236746000000.0,258384000000.0,318083000000.0,369215000000.0,385715000000.0,408260000000.0,470922000000.0,517328000000.0,483254000000.0,481421000000.0,523330000000.0,496153000000.0,521791000000.0,535390000000.0,462336000000.0,476063000000.0,502765000000.0,543299000000.0,535866000000.0,525213000000.0,594352000000.0,578604000000.0,1.0
Belarus,2196420000.0,460682915.9,69897.36,1742576324.0,998716485.2,BLR,GDP (current US$),NY.GDP.MKTP.CD,12736856828.0,12354820144.0,14594928109.0,17825437483.0,23141593074.0,30210091837.0,36961822468.0,45275747157.0,60752177439.0,50873181572.0,57231904543.0,61762340943.0,65685903570.0,75527537703.0,78812785768.0,56454895055.0,47723549319.0,54725311690.0,60031163987.0,64410112583.0,61371755326.0,69673747132.0,72793457588.0,1.0
Chile,4644107000.0,756105274.6,150036400.0,3858859325.0,150089600.0,CHL,GDP (current US$),NY.GDP.MKTP.CD,78249883996.0,71517267768.0,70295232513.0,76507853876.0,99079365628.0,122315000000.0,153840000000.0,172566000000.0,179663000000.0,171413000000.0,217105000000.0,251225000000.0,267176000000.0,277239000000.0,259405000000.0,242497000000.0,249299000000.0,276365000000.0,295403000000.0,278493000000.0,254096000000.0,316714000000.0,301025000000.0,1.0
Costa Rica,3747770500.0,374111679.1,878441639.6,2615217181.0,1564294104.0,CRI,GDP (current US$),NY.GDP.MKTP.CD,15013629659.0,15976174337.0,16578820687.0,17271760507.0,18610594846.0,20040642477.0,22715540324.0,26884700345.0,30801744881.0,30745714327.0,37658614803.0,42762613706.0,47231655433.0,50949668886.0,52016408924.0,56441920824.0,58847019585.0,60516044623.0,62420164965.0,64417670556.0,62395610764.0,64616482168.0,68380838316.0,1.0
Cyprus,418800000.0,94656258.01,0.0,324143742.0,-0.01,CYP,GDP (current US$),NY.GDP.MKTP.CD,9985844486.0,10397897086.0,11420227885.0,14547325028.0,17320552500.0,18433411267.0,20072786351.0,23968764030.0,27844698989.0,25945391775.0,25799940416.0,27641551809.0,25047433100.0,23959708956.0,23225912183.0,19909269065.0,21046452117.0,22946583376.0,25597301191.0,25945194240.0,25008266159.0,28408064462.0,28439052741.0,1.0
Denmark,85000000.0,0.0,0.0,85000000.0,0.0,DNK,GDP (current US$),NY.GDP.MKTP.CD,164158000000.0,164791000000.0,178635000000.0,218097000000.0,251375000000.0,264467000000.0,282886000000.0,319423000000.0,353359000000.0,321243000000.0,321995000000.0,344003000000.0,327149000000.0,343584000000.0,352994000000.0,302673000000.0,313116000000.0,332121000000.0,356841000000.0,346499000000.0,355222000000.0,398303000000.0,395404000000.0,1.0
Spain,478700000.0,62396194.65,0.0,416303805.4,0.03,ESP,GDP (current US$),NY.GDP.MKTP.CD,598363000000.0,627830000000.0,708757000000.0,907492000000.0,1069060000000.0,1153720000000.0,1260400000000.0,1474000000000.0,1631860000000.0,1491470000000.0,1422110000000.0,1480710000000.0,1324750000000.0,1355580000000.0,1371820000000.0,1196160000000.0,1233550000000.0,1313250000000.0,1421700000000.0,1394320000000.0,1276960000000.0,1427380000000.0,1397510000000.0,1.0
Estonia,150700000.0,19676222.12,0.01,125411712.3,0.0,EST,GDP (current US$),NY.GDP.MKTP.CD,5686579748.0,6254649539.0,7367975888.0,9874013098.0,12145911801.0,14106790200.0,17022870405.0,22449129483.0,24341678629.0,19633031398.0,19523477326.0,23213994093.0,23019150071.0,25115753366.0,26634083965.0,22890762090.0,24072829277.0,26924385103.0,30624720196.0,31081901909.0,31370395573.0,37191166152.0,38100812959.0,1.0
Finland,316779464.4,14542428.74,0.0,302237035.7,0.0,FIN,GDP (current US$),NY.GDP.MKTP.CD,126020000000.0,129533000000.0,140404000000.0,171652000000.0,197479000000.0,204885000000.0,217089000000.0,256378000000.0,285716000000.0,253498000000.0,249424000000.0,275604000000.0,258290000000.0,271362000000.0,274863000000.0,234534000000.0,240771000000.0,255648000000.0,275708000000.0,268515000000.0,271886000000.0,296388000000.0,280826000000.0,1.0
France,250000000.0,0.0,0.0,250000000.0,0.0,FRA,GDP (current US$),NY.GDP.MKTP.CD,1365640000000.0,1377660000000.0,1501410000000.0,1844540000000.0,2119630000000.0,2196950000000.0,2320540000000.0,2660590000000.0,2930300000000.0,2700890000000.0,2645190000000.0,2865160000000.0,2683670000000.0,2811880000000.0,2855960000000.0,2439190000000.0,2472960000000.0,2595150000000.0,2790960000000.0,2728870000000.0,2639010000000.0,2957880000000.0,2782910000000.0,1.0
Georgia,2516800000.0,36943124.12,870984184.5,1583048416.0,1446645401.0,GEO,GDP (current US$),NY.GDP.MKTP.CD,3057475335.0,3219462780.0,3395766678.0,3991377904.0,5125365192.0,6410912050.0,7745249284.0,10172933118.0,12795147992.0,10766919442.0,12243219360.0,15107482383.0,16488819133.0,17190068236.0,17627336228.0,14953675993.0,15141598623.0,16242647230.0,17596922470.0,17470436259.0,15842922533.0,18629365612.0,24605375420.0,1.0
Greece,490800000.0,118459339.8,0.0,372340660.2,0.0,GRC,GDP (current US$),NY.GDP.MKTP.CD,130458000000.0,136309000000.0,154564000000.0,202370000000.0,240964000000.0,247875000000.0,273547000000.0,318903000000.0,355909000000.0,331309000000.0,297125000000.0,282996000000.0,242029000000.0,238908000000.0,235458000000.0,195684000000.0,193148000000.0,199844000000.0,212049000000.0,205257000000.0,188926000000.0,214874000000.0,219066000000.0,1.0
Croatia,5532659331.0,518288860.1,601091000.1,4286800746.0,1425355811.0,HRV,GDP (current US$),NY.GDP.MKTP.CD,22128719418.0,23063323723.0,26757255952.0,35254833028.0,41855265955.0,45025328214.0,49532592593.0,59172904661.0,68342061762.0,61941466003.0,58693611581.0,62599775593.0,57231455635.0,59363124069.0,59214461630.0,50742086223.0,52391038979.0,55937483558.0,61330483610.0,61329267533.0,57624938982.0,68843674641.0,70964606465.0,1.0
Hungary,5946880000.0,2381104063.0,0.01,3561137212.0,0.0,HUN,GDP (current US$),NY.GDP.MKTP.CD,47218411470.0,53749989092.0,67608919144.0,85285075492.0,104121000000.0,113211000000.0,115716000000.0,140187000000.0,158326000000.0,131069000000.0,132175000000.0,141942000000.0,128814000000.0,135684000000.0,141034000000.0,125174000000.0,128610000000.0,143112000000.0,160566000000.0,164020000000.0,157227000000.0,182275000000.0,178789000000.0,1.0
Ireland,152500000.0,2153546.65,0.0,150346453.4,0.0,IRL,GDP (current US$),NY.GDP.MKTP.CD,100208000000.0,109347000000.0,128596000000.0,164671000000.0,194372000000.0,211877000000.0,232181000000.0,270079000000.0,275447000000.0,236443000000.0,221914000000.0,239003000000.0,225629000000.0,238341000000.0,259171000000.0,291775000000.0,299091000000.0,336378000000.0,385737000000.0,399322000000.0,425852000000.0,504183000000.0,529245000000.0,1.0
Iceland,47014000.0,0.0,0.0,47014000.0,0.04,ISL,GDP (current US$),NY.GDP.MKTP.CD,9025660362.0,8234846523.0,9318398444.0,11429335645.0,13825309101.0,16852971987.0,17465318552.0,21652505597.0,18074619562.0,13154416197.0,13751161918.0,15221622926.0,14751508134.0,16125060515.0,17867662178.0,17517210519.0,20793168031.0,24728285177.0,26260850582.0,24663643102.0,21553080484.0,25552639899.0,27841648044.0,1.0
Israel,284500000.0,701448.93,0.0,283798551.1,0.01,ISR,GDP (current US$),NY.GDP.MKTP.CD,136035000000.0,134637000000.0,125060000000.0,131299000000.0,139974000000.0,147084000000.0,158670000000.0,184053000000.0,220530000000.0,211968000000.0,238364000000.0,266792000000.0,262282000000.0,297733000000.0,314330000000.0,303414000000.0,322103000000.0,358245000000.0,376692000000.0,402471000000.0,413268000000.0,488527000000.0,522033000000.0,1.0
Italy,399628000.0,1600000.0,0.0,398028000.0,-0.01,ITA,GDP (current US$),NY.GDP.MKTP.CD,1146680000000.0,1168020000000.0,1276770000000.0,1577620000000.0,1806540000000.0,1858220000000.0,1949550000000.0,2213100000000.0,2408660000000.0,2199930000000.0,2136100000000.0,2294990000000.0,2086960000000.0,2141920000000.0,2162010000000.0,1836640000000.0,1877070000000.0,1961800000000.0,2091930000000.0,2011300000000.0,1897210000000.0,2114360000000.0,2010430000000.0,1.0
Japan,862900000.0,5858996.19,0.0,857041003.8,0.0,JPN,GDP (current US$),NY.GDP.MKTP.CD,4968360000000.0,4374710000000.0,4182850000000.0,4519560000000.0,4893120000000.0,4831470000000.0,4601660000000.0,4579750000000.0,5106680000000.0,5289490000000.0,5759070000000.0,6233150000000.0,6272360000000.0,5212330000000.0,4896990000000.0,4444930000000.0,5003680000000.0,4930840000000.0,5040880000000.0,5117990000000.0,5048790000000.0,5005540000000.0,4231140000000.0,1.0
Luxembourg,12000000.0,238016.98,0.0,11761983.02,0.0,LUX,GDP (current US$),NY.GDP.MKTP.CD,21230182989.0,21387533703.0,23649833332.0,29667268248.0,35064843793.0,37672280120.0,42910146296.0,51587401416.0,58844277702.0,54467289898.0,56213985987.0,61696281326.0,59776383527.0,65203276467.0,68804811898.0,60071584216.0,62216885436.0,65712180343.0,71000359760.0,69825641851.0,73992591285.0,85506243834.0,82274812251.0,1.0
Latvia,984615000.0,71408458.64,0.0,887526526.1,0.0,LVA,GDP (current US$),NY.GDP.MKTP.CD,7958852839.0,8362398702.0,9557031605.0,11771975157.0,14435700533.0,17003459863.0,21570076499.0,31054350978.0,35854274229.0,26410909091.0,23956163077.0,27474380566.0,28169902669.0,30204783462.0,31386896487.0,27263090547.0,28083597512.0,30483806018.0,34429023435.0,34343961073.0,34601740323.0,39725383601.0,41153912663.0,1.0
Malta,7500000.0,1459920.43,0.0,6040079.57,0.0,MLT,GDP (current US$),NY.GDP.MKTP.CD,4323339212.0,4355146428.0,4693495693.0,5489359281.0,6116591928.0,6407287651.0,6778321415.0,7925403778.0,9090376446.0,8696304529.0,9035819657.0,9638733344.0,9461826174.0,10550968139.0,11625843214.0,11091467514.0,11667976403.0,13489296992.0,15298004130.0,15881258056.0,15046136935.0,17743376199.0,17765270015.0,1.0
Montenegro,832443054.6,88503460.34,248370738.6,459675290.7,192843451.9,MNE,GDP (current US$),NY.GDP.MKTP.CD,984292969.9,1159869246.0,1284685051.0,1707710053.0,2073234418.0,2257174481.0,2721903149.0,3680711744.0,4545674528.0,4159330370.0,4142983898.0,4544429063.0,4087525609.0,4465771673.0,4593852089.0,4054728173.0,4376929572.0,4856602179.0,5506944403.0,5542053845.0,4769995512.0,5861430526.0,6095978868.0,1.0
Mauritius,842530000.0,131873527.8,0.02,719685767.5,118961899.5,MUS,GDP (current US$),NY.GDP.MKTP.CD,4663321022.0,4613637222.0,4841310240.0,5816559039.0,6578840499.0,6488743120.0,7028810755.0,8150150144.0,9990356849.0,9128843109.0,10003670690.0,11518413430.0,11668696526.0,12292974008.0,13074130094.0,12007291046.0,12594155346.0,13713505998.0,14735695931.0,14436347115.0,11401040996.0,11476433604.0,12898307089.0,1.0
Malaysia,4150620000.0,894720698.7,0.0,3255899301.0,0.02,MYS,GDP (current US$),NY.GDP.MKTP.CD,93789736842.0,92783947368.0,100846000000.0,110202000000.0,124749000000.0,143534000000.0,162692000000.0,193550000000.0,230812000000.0,202257000000.0,255018000000.0,297952000000.0,314443000000.0,323276000000.0,338066000000.0,301355000000.0,301255000000.0,319109000000.0,358789000000.0,365178000000.0,337339000000.0,372981000000.0,406306000000.0,1.0
Netherlands,244000000.0,7548015.28,0.0,236451984.7,0.0,NLD,GDP (current US$),NY.GDP.MKTP.CD,417479000000.0,431587000000.0,473862000000.0,580070000000.0,658380000000.0,685348000000.0,733955000000.0,848559000000.0,951870000000.0,871519000000.0,847381000000.0,905271000000.0,838923000000.0,877173000000.0,892168000000.0,765573000000.0,784060000000.0,833870000000.0,914043000000.0,910194000000.0,909793000000.0,1011800000000.0,991115000000.0,1.0
Norway,145000000.0,0.0,0.0,145000000.0,0.0,NOR,GDP (current US$),NY.GDP.MKTP.CD,171456000000.0,174240000000.0,195915000000.0,229385000000.0,265267000000.0,309979000000.0,346913000000.0,402646000000.0,464918000000.0,387974000000.0,431052000000.0,501361000000.0,512777000000.0,526014000000.0,501736000000.0,388160000000.0,370957000000.0,401745000000.0,439789000000.0,408743000000.0,367633000000.0,490293000000.0,579267000000.0,1.0
