Country,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Borrower's Obligation,Country_Code,Series_Name,Series_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,developed
Cameroon,2567100000.0,300403980.1,750321305.5,1498642496.0,428311894.6,CMR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,4607664.383,1965325.687,572715.0425,1714096.244,1934243.194,8216085.902,5231366.667,5710003.066,16177128.54,8024777.326,11608865.42,10879607.32,7360598.071,7843699.029,7999881.239,7019482.216,905736.2624,4253982.769,2347496.662,1947036.745,2099252.21,12524891.97,0.0,0.0
Chad,39500000.0,2139893.71,0.0,37360106.29,0.0,TCD,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,58145647143.0,5619317329.0,5666011670.0,46733261107.0,15559862065.0,CHN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1280970000,1938000000,3114004041,3548126752,4496604796,5321253863,6634081020,8192067402,10319466356,11065271082,13039546459,14706108691,17748983437,21033078371,22613800782,22022366055,23979580208,28746479819,35782953953,34370466478,37870654560,46894697501,44474106058,0.0
Colombia,33199488071.0,2199389377.0,1371668110.0,29699591580.0,15048767376.0,COL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,74072082.03,77274090.82,80104996.09,77372537.11,87676363.28,122467029.3,140808115.2,347620984.4,470855703.1,510385125,615031453.1,753789593.8,947980078.1,1282431219,1401046313,1345633688,1257276813,1275576188,1412618281,1334981000,1122727656,1358180421,1567576146,0.0
Cote d'Ivoire,3062000000.0,445234027.1,40786315.94,2559290478.0,131619145.5,CIV,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,10319419.07,9564997.89,21998032.3,21246859.01,20431903.47,17445634.8,18450982.19,17200746.2,3891114.524,2894134.251,2564225.311,2713440.371,3091086.087,10023144.29,10699559.93,11428526.66,12613368.95,0.0,0.0
Czechia,626000000.0,114342545.6,0.0,511686256.7,0.0,CZE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,81725597.71,92705740.48,119236203.2,175866289.6,173666458.2,503693935.3,551382615.6,694050965.8,859173450.8,842489141.2,945086547.4,1179217303,1042852406,1160503560,1343830327,1227305475,1193119443,1243172655,1492994404,1511179525,1390422197,1614070192,1633672402,0.0
Dominica,7760000.0,2763956.4,0.0,4996043.6,0.0,DMA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,118518.5185,107037.037,122962.963,64481.48148,80211.11111,113200,235233.3333,612340.7407,619140.7407,435029.6296,1242888.889,608970.3704,594080.7407,594080.7407,586672.2074,672686.2852,674278.8778,652481.8407,1098511.17,1098511.17,179356.1521,1035895.435,0.0,0.0
Dominican Republic,4491440000.0,247701300.5,1397721250.0,2876017450.0,1555256434.0,DOM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,29700000,22000000,29600000,30100000,30100000,30800000,31500000,31900000,50700000,53400000,67100000,71400000,59200000,63700000,81400000,88900000,98400000,134000000,34600000,41500000,81900000,121400000,152300000,0.0
El Salvador,3292685000.0,305412697.8,762590362.0,2224681940.0,857495776.4,SLV,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,20500000,22100000,20400000,22200000,17750000,30400000,27300000,24100000,33700000,26050000,31490000,39934371.44,54681828.7,71564697.09,68550429.24,70203548.96,136773816.8,138322271.5,88993637.94,97691759.79,97726353.84,111820409.2,123783408.8,0.0
Eswatini,410000000.0,55591797.41,95845006.3,307892402.8,185536491.8,SWZ,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,35064844.3,42800355.47,54075391.24,71181077.94,75601431.49,105433147.2,106405636.6,120988053.8,119690735.9,116340361.5,16308752.91,2678419.115,2362605.013,2006990.404,1811254.776,1424807.333,1097572.648,3173476.842,5333009.918,7837969.986,32785514.01,18885076.63,0.0,0.0
